Date,high,low,open,close,volume,Adj Close
2019-10-10,28552.75,27914.150390625,28542.94921875,28013.44921875,0.0,28013.44921875
2019-10-11,28604.05078125,27736.80078125,28245.55078125,28042.5,0.0,28042.5
2019-10-14,28553.400390625,28043.25,28238.5,28181.94921875,0.0,28181.94921875
2019-10-15,28694.849609375,28186.25,28257.849609375,28555.099609375,0.0,28555.099609375
2019-10-16,28759.349609375,28305.400390625,28689.44921875,28538.80078125,0.0,28538.80078125
2019-10-17,29049.05078125,28487.94921875,28596.349609375,28989.44921875,0.0,28989.44921875
2019-10-18,29249.5,28864.099609375,28954.80078125,29120.25,0.0,29120.25
2019-10-22,29690.0,29231.19921875,29416.25,29411.150390625,0.0,29411.150390625
2019-10-23,29643.80078125,29214.05078125,29478.849609375,29459.599609375,0.0,29459.599609375
2019-10-24,29693.25,28994.19921875,29604.349609375,29107.94921875,0.0,29107.94921875
2019-10-25,29452.099609375,28923.80078125,29228.650390625,29395.94921875,0.0,29395.94921875
2019-10-29,29997.650390625,29385.44921875,29527.599609375,29873.05078125,0.0,29873.05078125
2019-10-30,30151.099609375,29753.0,30005.69921875,29987.5,0.0,29987.5
2019-10-31,30415.650390625,29987.150390625,30168.650390625,30066.25,0.0,30066.25
2019-11-01,30409.0,30028.900390625,30196.150390625,30330.55078125,0.0,30330.55078125
2019-11-04,30607.05078125,30227.25,30415.900390625,30333.099609375,0.0,30333.099609375
2019-11-05,30452.69921875,30091.349609375,30403.25,30219.849609375,0.0,30219.849609375
2019-11-06,30699.0,30013.650390625,30225.19921875,30609.599609375,0.0,30609.599609375
2019-11-07,30821.349609375,30462.55078125,30722.599609375,30633.150390625,364800.0,30633.150390625
2019-11-08,31108.400390625,30504.05078125,30571.30078125,30749.400390625,0.0,30749.400390625
2019-11-11,31205.19921875,30625.80078125,30664.650390625,31115.55078125,0.0,31115.55078125
2019-11-13,31198.5,30488.099609375,31084.75,30541.55078125,0.0,30541.55078125
2019-11-14,30789.19921875,30338.349609375,30615.80078125,30749.94921875,0.0,30749.94921875
2019-11-15,31165.44921875,30860.69921875,30912.400390625,31008.400390625,0.0,31008.400390625
2019-11-18,31203.55078125,30901.849609375,31036.80078125,30992.099609375,0.0,30992.099609375
2019-11-19,31298.05078125,30974.30078125,31045.150390625,31236.25,0.0,31236.25
2019-11-20,31471.650390625,31205.55078125,31292.349609375,31353.849609375,0.0,31353.849609375
2019-11-21,31463.150390625,31243.0,31413.25,31349.94921875,0.0,31349.94921875
2019-11-22,31394.19921875,31055.19921875,31389.599609375,31111.599609375,0.0,31111.599609375
2019-11-25,31591.599609375,31049.75,31065.099609375,31555.900390625,0.0,31555.900390625
2019-11-26,31850.349609375,31465.849609375,31692.849609375,31718.349609375,0.0,31718.349609375
2019-11-27,31916.80078125,31734.5,31832.75,31875.94921875,0.0,31875.94921875
2019-11-28,32157.05078125,31905.900390625,31981.69921875,32122.94921875,498300.0,32122.94921875
2019-11-29,32086.94921875,31770.80078125,32074.150390625,31946.099609375,0.0,31946.099609375
2019-12-02,32024.099609375,31720.599609375,32008.30078125,31871.44921875,0.0,31871.44921875
2019-12-03,31936.599609375,31502.94921875,31920.099609375,31613.349609375,0.0,31613.349609375
2019-12-04,32017.75,31444.0,31549.30078125,31979.30078125,516800.0,31979.30078125
2019-12-05,32126.94921875,31628.30078125,32083.80078125,31712.94921875,393300.0,31712.94921875
2019-12-06,31883.69921875,31250.650390625,31797.150390625,31341.55078125,485400.0,31341.55078125
2019-12-09,31537.650390625,31122.05078125,31321.400390625,31316.650390625,494500.0,31316.650390625
2019-12-10,31412.80078125,31126.0,31386.400390625,31160.349609375,505400.0,31160.349609375
2019-12-11,31337.849609375,30996.400390625,31151.650390625,31256.75,815400.0,31256.75
2019-12-12,31711.44921875,31352.099609375,31356.80078125,31665.44921875,529700.0,31665.44921875
2019-12-13,32105.05078125,31770.5,31775.55078125,32014.25,390500.0,32014.25
2019-12-16,32186.94921875,31897.75,32159.0,31974.19921875,306000.0,31974.19921875
2019-12-17,32213.349609375,31987.349609375,32082.400390625,32140.25,259900.0,32140.25
2019-12-18,32293.650390625,32017.30078125,32292.25,32244.25,258800.0,32244.25
2019-12-19,32328.349609375,32085.05078125,32281.650390625,32241.44921875,436900.0,32241.44921875
2019-12-20,32443.349609375,32199.44921875,32266.849609375,32384.94921875,535200.0,32384.94921875
2019-12-23,32502.80078125,32196.849609375,32381.0,32339.44921875,391500.0,32339.44921875
2019-12-24,32390.349609375,32246.05078125,32337.80078125,32280.75,330800.0,32280.75
2019-12-26,32314.599609375,31963.25,32276.150390625,31997.69921875,339800.0,31997.69921875
2019-12-27,32444.849609375,32056.25,32142.5,32412.349609375,332400.0,32412.349609375
2019-12-30,32613.099609375,32248.5,32486.599609375,32354.900390625,0.0,32354.900390625
2019-12-31,32345.94921875,32108.75,32345.94921875,32161.650390625,251400.0,32161.650390625
2020-01-02,32465.44921875,32121.400390625,32133.150390625,32443.849609375,253600.0,32443.849609375
2020-01-03,32329.80078125,31960.400390625,32326.94921875,32069.25,217600.0,32069.25
2020-01-06,31914.44921875,31170.55078125,31910.44921875,31237.150390625,256200.0,31237.150390625
2020-01-07,31851.44921875,31200.900390625,31598.05078125,31399.400390625,294400.0,31399.400390625
2020-01-08,31451.849609375,30899.55078125,30995.5,31373.650390625,304500.0,31373.650390625
2020-01-09,32172.69921875,31667.150390625,31748.25,32092.400390625,308000.0,32092.400390625
2020-01-10,32347.19921875,31953.400390625,32215.69921875,32097.400390625,444700.0,32097.400390625
2020-01-13,32322.650390625,32074.05078125,32139.099609375,32177.650390625,291400.0,32177.650390625
2020-01-14,32196.44921875,31989.19921875,32196.44921875,32071.650390625,438900.0,32071.650390625
2020-01-15,32000.900390625,31670.349609375,31994.75,31824.900390625,545700.0,31824.900390625
2020-01-16,31988.900390625,31692.400390625,31810.55078125,31853.900390625,253700.0,31853.900390625
2020-01-17,31773.55078125,31445.5,31571.650390625,31590.650390625,308100.0,31590.650390625
2020-01-20,31923.94921875,31050.94921875,31923.94921875,31080.650390625,282200.0,31080.650390625
2020-01-21,31171.25,30858.599609375,30978.849609375,30947.55078125,227500.0,30947.55078125
2020-01-22,31149.05078125,30614.0,31061.599609375,30701.44921875,200600.0,30701.44921875
2020-01-23,31087.25,30621.349609375,30742.19921875,31004.05078125,343800.0,31004.05078125
2020-01-24,31375.44921875,30879.05078125,31040.099609375,31241.75,424600.0,31241.75
2020-01-27,31227.05078125,30808.55078125,31110.55078125,30837.400390625,309900.0,30837.400390625
2020-01-28,31048.44921875,30656.349609375,30922.0,30761.400390625,239600.0,30761.400390625
2020-01-29,31082.849609375,30835.80078125,30915.099609375,30877.0,268800.0,30877.0
2020-01-30,30909.5,30521.30078125,30889.25,30647.400390625,328900.0,30647.400390625
